City,Country,Cloudiness,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Cape Town,ZA,0,1619798116,52,-33.9258,18.4232,64.4,19.57
Hithadhoo,MV,37,1619798682,73,-0.6,73.0833,84.09,7.65
Freeport,US,20,1619798408,42,40.6576,-73.5832,66.99,23.02
Qaanaaq,GL,53,1619798104,64,77.484,-69.3632,32.34,7.07
Talnakh,RU,25,1619798224,84,69.4865,88.3972,19.4,3.38
Mataura,NZ,58,1619798089,93,-46.1927,168.8643,42.01,4
Kyra,RU,16,1619798206,61,49.5776,111.9753,30.87,6.42
Mamburao,PH,36,1619798691,78,13.25,120.6667,77.81,4.03
Mount Gambier,AU,99,1619798333,51,-37.8333,140.7667,59,9.22
San Ramon,US,1,1619798615,67,37.7799,-121.978,61,3.44
Port Alfred,ZA,52,1619798695,74,-33.5906,26.891,63,15.75
Puerto Ayora,EC,40,1619798696,69,-0.7393,-90.3518,82.4,11.5
Mareeba,AU,40,1619798698,73,-17,145.4333,73.4,10.36
Shetpe,KZ,99,1619798700,28,44.1667,52.1167,67.95,10.11
Mar del Plata,AR,0,1619798125,68,-38.0023,-57.5575,68,18.41
Rikitea,PF,49,1619798706,74,-23.1203,-134.9692,78.8,19.1
Bredasdorp,ZA,43,1619798707,42,-34.5322,20.0403,64.4,9.22
Cacequi,BR,0,1619798709,37,-29.8836,-54.825,77.11,8.25
Touros,BR,75,1619798230,78,-5.1989,-35.4608,80.6,12.66
Barrow,US,90,1619798701,86,71.2906,-156.7887,19.4,5.75
Papara,BR,75,1619798713,66,-3.9839,-38.7273,87.8,13.8
Katsuura,JP,20,1619798188,88,35.1333,140.3,60.8,9.22
Longyearbyen,SJ,75,1619798166,68,78.2186,15.6401,21.2,8.05
Vicuña,CL,0,1619798717,63,-30.0319,-70.7081,64.4,10.36
Saint-Philippe,RE,0,1619798719,83,-21.3585,55.7679,77,4.61
Punta Arenas,CL,90,1619798721,100,-53.15,-70.9167,41,9.22
Kapaa,US,75,1619798722,83,22.0752,-159.319,71.6,14.97
Busselton,AU,88,1619798724,96,-33.65,115.3333,50,3.67
Qarchak,IR,40,1619798726,15,35.4394,51.5689,82.4,4.61
Kiama,AU,8,1619798727,89,-34.6833,150.8667,59,4.38
